Power Usage Effectiveness (PUE),Energy Consumption (kWh),Renewable Energy Usage (%),Cooling Efficiency,Total Power Consumption (kW),Server Power Consumption (kW),Dynamic Power Usage (kW),CPU Utilization (%),Task Completion Time (ms),SLA Violations,Workload Type,Number of Active VMs,Energy Strategy,Energy Savings (%)
1.5,"11,000",70,1.4,"1,600",110,50,90,125,4,Compute-heavy,232,Non-renewable,70
1.2,"18,000",90,1.6,"1,400",100,150,0,194,0,I/O heavy,50,Non-renewable,50
1.3,"34,000",0,1.2,"2,000",120,80,20,63,0,Mixed,330,Renewable-first,30
1.2,"44,000",70,1.3,"2,700",120,150,10,171,4,Compute-heavy,111,Non-renewable,20
1.6,"16,000",90,1.6,"1,500",40,140,40,63,4,Compute-heavy,204,Hybrid,50
1.4,"32,000",0,1.8,900,90,110,60,89,2,Compute-heavy,248,Renewable-first,40
1.5,"18,000",20,1.7,"1,800",140,110,50,107,4,I/O heavy,385,Renewable-first,0
1.7,"5,000",40,1.1,"1,400",60,150,70,20,1,I/O heavy,420,Hybrid,40
1.3,"8,000",100,1.2,"2,600",110,70,90,162,3,Compute-heavy,156,Hybrid,20
1.4,"22,000",90,1.2,"2,700",70,70,80,48,4,Compute-heavy,291,Renewable-first,70
1.7,"40,000",90,1.3,"2,100",30,70,90,20,0,I/O heavy,323,Renewable-first,70
1.3,"36,000",70,1.1,"2,500",50,140,30,65,1,Mixed,429,Non-renewable,40
1.2,"32,000",70,1.2,"1,700",180,130,40,196,5,I/O heavy,117,Hybrid,20
1.4,"32,000",50,1.6,"2,800",40,60,20,68,5,Mixed,108,Renewable-first,30
1.3,"42,000",30,1.2,"2,300",110,130,40,173,2,Mixed,195,Renewable-first,30
1.8,"36,000",30,1.8,"2,200",40,130,60,116,5,Mixed,66,Non-renewable,10
1.7,"12,000",70,1.3,"2,200",120,130,90,135,4,Mixed,236,Non-renewable,80
1.6,"29,000",100,1.1,800,30,110,90,147,4,I/O heavy,149,Hybrid,60
1.7,"24,000",20,1.7,"1,100",170,50,70,121,1,Compute-heavy,173,Non-renewable,10
1.7,"37,000",70,1.7,"2,200",200,150,50,20,3,Compute-heavy,483,Non-renewable,70
1.3,"34,000",30,1.7,"2,600",120,80,30,178,4,I/O heavy,241,Renewable-first,60
1.7,"41,000",90,1.4,"1,700",200,110,70,82,1,Mixed,374,Non-renewable,10
1.5,"20,000",80,1.7,"1,100",170,130,100,144,2,I/O heavy,403,Renewable-first,70
1.7,"29,000",10,1.6,"2,900",70,150,70,99,5,I/O heavy,170,Renewable-first,50
1.7,"42,000",90,1.2,"1,600",160,100,0,118,4,I/O heavy,262,Non-renewable,30
1.4,"46,000",0,1.4,"2,700",180,120,50,46,5,I/O heavy,438,Renewable-first,70
1.3,"14,000",30,1.3,"2,100",190,110,80,117,0,Compute-heavy,101,Non-renewable,40
1.3,"9,000",80,1.4,"1,200",160,70,20,68,1,Compute-heavy,500,Non-renewable,80
1.5,"12,000",60,1.3,700,110,50,10,172,4,Mixed,328,Renewable-first,80
1.7,"37,000",80,1.1,"1,700",180,120,50,100,2,Mixed,240,Renewable-first,10
1.7,"41,000",80,1.3,"1,100",90,110,10,92,3,I/O heavy,50,Non-renewable,20
1.2,"5,000",90,1.4,"1,000",160,70,60,58,0,Compute-heavy,277,Hybrid,70
1.5,"35,000",80,1.2,700,110,80,70,105,4,I/O heavy,94,Hybrid,70
1.5,"11,000",80,1.1,"2,200",200,50,40,24,0,Mixed,113,Non-renewable,60
1.3,"27,000",60,1.2,800,30,120,100,100,5,Compute-heavy,182,Renewable-first,60
1.3,"28,000",70,1.2,"2,000",160,100,60,159,4,Compute-heavy,136,Non-renewable,70
1.4,"18,000",10,1.4,"2,100",50,90,40,127,1,Mixed,130,Hybrid,40
1.8,"27,000",80,1.2,"1,400",20,100,80,130,3,I/O heavy,231,Renewable-first,20
1.4,"13,000",10,1.6,"3,000",130,50,60,21,3,Compute-heavy,53,Hybrid,0
1.5,"12,000",70,1.3,"1,700",90,70,0,102,4,I/O heavy,346,Hybrid,0
1.6,"12,000",10,1.8,"2,700",110,50,40,86,3,Compute-heavy,273,Renewable-first,60
1.4,"7,000",100,1.1,700,50,90,100,71,2,Compute-heavy,360,Non-renewable,10
1.8,"36,000",70,1.2,"1,700",190,110,100,75,1,Mixed,258,Renewable-first,40
1.8,"8,000",20,1.6,600,90,140,50,136,1,Compute-heavy,120,Non-renewable,10
1.4,"42,000",10,1.5,"2,500",40,140,100,67,3,Compute-heavy,483,Hybrid,40
1.5,"6,000",50,1.3,"2,700",120,50,90,111,2,I/O heavy,493,Hybrid,80
1.4,"13,000",50,1.7,"2,100",150,120,70,109,3,I/O heavy,264,Renewable-first,80
1.4,"5,000",0,1.1,"2,100",170,120,60,165,2,Compute-heavy,344,Renewable-first,50
1.2,"15,000",60,1.4,"3,000",20,150,40,192,3,I/O heavy,320,Renewable-first,80
1.6,"33,000",100,1.2,"1,200",160,100,70,80,0,I/O heavy,114,Hybrid,70
1.5,"30,000",0,1.3,"2,500",130,60,80,25,2,Compute-heavy,425,Non-renewable,50
1.2,"31,000",30,1.6,"2,800",160,90,10,93,4,Compute-heavy,113,Non-renewable,50
1.4,"42,000",50,1.1,"1,500",170,150,0,21,4,I/O heavy,195,Non-renewable,0
1.7,"33,000",70,1.0,700,50,120,80,133,0,Compute-heavy,303,Non-renewable,50
1.3,"37,000",100,1.3,"2,200",80,150,0,194,4,Mixed,68,Hybrid,70
1.3,"32,000",100,1.2,"1,100",60,90,80,113,3,Compute-heavy,483,Renewable-first,40
1.5,"35,000",70,1.6,"1,000",150,100,70,83,3,Compute-heavy,158,Renewable-first,10
1.8,"23,000",90,1.1,800,110,150,10,64,3,I/O heavy,410,Non-renewable,10
1.3,"30,000",60,1.8,"2,700",130,60,50,162,1,Mixed,58,Renewable-first,50
1.6,"33,000",100,1.5,"1,300",150,70,70,185,1,Compute-heavy,99,Hybrid,50
1.7,"15,000",40,1.4,"1,300",200,130,30,37,1,I/O heavy,221,Renewable-first,50
1.3,"45,000",50,1.3,700,190,150,100,53,4,Mixed,274,Renewable-first,0
1.6,"36,000",70,1.6,"2,100",190,60,0,109,4,Compute-heavy,154,Renewable-first,40
1.4,"25,000",20,1.3,800,30,110,20,28,3,Mixed,261,Renewable-first,10
1.6,"42,000",50,1.6,"1,400",120,90,70,41,0,Mixed,61,Non-renewable,20
1.6,"38,000",30,1.6,"1,700",160,90,70,56,2,Compute-heavy,394,Non-renewable,0
1.5,"44,000",20,1.4,"2,100",60,150,50,133,0,Mixed,241,Renewable-first,0
1.3,"26,000",20,1.7,"2,700",60,60,30,76,1,I/O heavy,174,Renewable-first,0
1.7,"31,000",30,1.3,"2,200",80,60,30,160,2,Mixed,281,Non-renewable,60
1.4,"12,000",50,1.0,"2,800",30,80,50,35,1,Mixed,395,Hybrid,20
1.3,"44,000",100,1.3,900,20,100,10,60,3,Mixed,70,Renewable-first,60
1.2,"35,000",0,1.7,"2,000",20,150,40,77,4,Mixed,493,Non-renewable,30
1.6,"5,000",10,1.1,"3,000",160,70,90,140,1,Compute-heavy,180,Renewable-first,20
1.6,"43,000",30,1.6,"2,100",20,130,40,34,2,Compute-heavy,205,Non-renewable,40
1.2,"38,000",90,1.7,"2,200",70,70,80,29,2,I/O heavy,282,Non-renewable,50
1.5,"28,000",80,1.3,"2,000",140,50,60,91,2,Mixed,310,Non-renewable,30
1.3,"32,000",70,1.2,800,80,50,100,147,5,Mixed,294,Non-renewable,0
1.6,"8,000",90,1.3,"2,300",130,50,50,178,1,Compute-heavy,185,Non-renewable,60
1.3,"22,000",70,1.3,"2,000",50,150,20,69,1,I/O heavy,91,Hybrid,0
1.6,"33,000",100,1.7,"1,700",110,150,90,119,3,I/O heavy,133,Renewable-first,80
1.4,"27,000",60,1.2,"2,500",90,140,100,176,2,I/O heavy,317,Non-renewable,60
1.8,"41,000",50,1.8,800,190,110,70,118,1,Mixed,366,Non-renewable,40
1.3,"31,000",60,1.1,600,120,100,40,97,5,I/O heavy,248,Hybrid,0
1.4,"20,000",50,1.8,"1,500",70,140,100,109,0,I/O heavy,321,Hybrid,80
1.3,"49,000",20,1.2,"2,900",170,100,100,87,5,Compute-heavy,479,Renewable-first,30
1.8,"31,000",50,1.1,"2,700",200,90,20,121,2,I/O heavy,152,Hybrid,60
1.7,"13,000",60,1.1,"2,500",40,120,50,53,4,I/O heavy,85,Renewable-first,20
1.4,"9,000",50,1.3,"1,600",70,130,20,180,3,Mixed,485,Non-renewable,70
1.6,"12,000",100,1.5,"1,800",120,60,90,38,0,I/O heavy,185,Renewable-first,10
1.7,"22,000",10,1.5,"1,600",60,80,60,83,4,Mixed,496,Renewable-first,20
1.5,"39,000",50,1.3,"1,500",190,60,70,93,4,Compute-heavy,329,Non-renewable,10
1.5,"10,000",10,1.2,800,150,90,20,77,4,Mixed,380,Renewable-first,0
1.3,"47,000",0,1.8,"1,400",60,110,70,90,1,Compute-heavy,224,Renewable-first,60
1.3,"27,000",90,1.2,"1,700",180,100,70,138,0,Mixed,69,Renewable-first,60
1.7,"30,000",90,1.3,"2,500",90,90,50,122,5,Compute-heavy,474,Renewable-first,80
1.7,"43,000",90,1.4,600,190,80,40,94,1,I/O heavy,364,Hybrid,70
1.6,"28,000",40,1.6,"1,200",170,140,90,87,0,Compute-heavy,222,Non-renewable,0
1.4,"14,000",30,1.1,600,50,60,20,50,3,Compute-heavy,232,Hybrid,0
1.4,"19,000",80,1.2,"1,200",130,60,100,145,1,I/O heavy,251,Renewable-first,70
1.6,"42,000",80,1.8,"2,500",200,50,40,41,3,Mixed,148,Hybrid,40
1.7,"24,000",80,1.7,"2,400",40,100,40,52,4,I/O heavy,205,Non-renewable,0
1.7,"33,000",20,1.4,"1,100",30,120,70,191,0,Compute-heavy,97,Hybrid,70
1.7,"10,000",90,1.1,"2,100",90,90,60,177,2,Compute-heavy,372,Non-renewable,20
1.6,"13,000",20,1.7,"1,100",60,150,90,53,4,I/O heavy,304,Hybrid,70
1.3,"9,000",20,1.6,"1,400",20,60,100,144,4,I/O heavy,380,Non-renewable,20
1.3,"43,000",100,1.5,"2,500",60,110,90,85,5,Mixed,252,Non-renewable,10
1.7,"23,000",90,1.3,"1,000",150,70,100,118,1,Mixed,89,Hybrid,20
1.6,"9,000",40,1.7,900,50,100,50,115,3,I/O heavy,171,Renewable-first,70
1.2,"24,000",50,1.2,"1,100",90,60,30,79,4,I/O heavy,379,Non-renewable,50
1.3,"15,000",50,1.3,"1,700",170,100,0,91,5,I/O heavy,164,Non-renewable,20
1.6,"31,000",20,1.7,500,60,120,60,97,3,Mixed,377,Non-renewable,80
1.2,"33,000",10,1.5,600,120,120,20,97,0,I/O heavy,428,Non-renewable,30
1.3,"11,000",50,1.8,"2,600",140,70,90,100,5,Compute-heavy,337,Renewable-first,80
1.5,"7,000",30,1.5,"1,800",90,70,80,157,3,Compute-heavy,144,Renewable-first,50
1.6,"9,000",80,1.0,"2,700",120,150,80,141,3,Mixed,282,Non-renewable,60
1.6,"17,000",10,1.1,"2,800",40,80,30,116,4,Compute-heavy,245,Renewable-first,40
1.3,"20,000",30,1.2,"1,700",20,100,90,172,3,I/O heavy,402,Renewable-first,0
1.6,"16,000",100,1.7,"2,400",50,140,70,57,2,I/O heavy,468,Non-renewable,20
1.3,"43,000",100,1.7,"1,500",200,110,80,184,4,Compute-heavy,72,Hybrid,60
1.4,"31,000",10,1.6,700,150,60,80,146,4,Compute-heavy,463,Hybrid,60
1.6,"49,000",40,1.4,"1,300",30,50,0,187,5,I/O heavy,326,Hybrid,0
1.6,"37,000",20,1.1,600,150,140,0,81,2,Mixed,496,Renewable-first,70
1.7,"19,000",30,1.1,"1,400",80,80,60,71,0,I/O heavy,100,Hybrid,20
1.6,"25,000",80,1.1,"1,900",120,100,80,67,2,I/O heavy,74,Hybrid,50
1.5,"48,000",90,1.7,"2,100",40,110,80,66,5,I/O heavy,375,Non-renewable,20
1.3,"21,000",100,1.1,"1,000",180,100,100,70,3,Compute-heavy,361,Renewable-first,80
1.4,"41,000",40,1.6,"1,500",160,110,10,28,4,Compute-heavy,144,Renewable-first,60
1.4,"19,000",80,1.7,700,50,120,40,124,5,I/O heavy,279,Non-renewable,50
1.3,"24,000",40,1.1,"1,100",200,70,10,79,0,I/O heavy,261,Renewable-first,40
1.8,"23,000",90,1.7,"1,600",110,90,30,39,4,Mixed,492,Renewable-first,0
1.4,"5,000",80,1.7,"1,900",180,120,70,125,2,Compute-heavy,441,Non-renewable,50
1.7,"8,000",70,1.5,"1,200",180,90,30,94,0,I/O heavy,258,Non-renewable,20
1.6,"7,000",0,1.4,"1,900",130,130,40,48,5,Compute-heavy,271,Renewable-first,10
1.7,"12,000",20,1.5,600,160,120,50,26,4,Mixed,205,Renewable-first,20
1.5,"45,000",40,1.3,"2,700",120,130,80,38,0,Compute-heavy,483,Non-renewable,40
1.5,"48,000",20,1.5,"1,700",150,150,90,181,0,Mixed,478,Non-renewable,70
1.5,"9,000",90,1.8,"3,000",160,70,30,197,4,Compute-heavy,336,Hybrid,10
1.3,"13,000",0,1.1,"2,500",140,120,0,103,4,Compute-heavy,466,Renewable-first,40
1.6,"5,000",100,1.2,"1,600",30,130,90,113,3,I/O heavy,270,Non-renewable,70
1.4,"47,000",10,1.4,900,60,80,60,66,2,Compute-heavy,340,Renewable-first,50
1.2,"34,000",10,1.2,"2,500",70,70,10,30,2,Compute-heavy,182,Non-renewable,0
1.6,"11,000",30,1.8,"2,500",160,70,30,119,1,Mixed,273,Non-renewable,30
1.3,"26,000",50,1.6,"1,400",120,60,100,83,5,Compute-heavy,155,Renewable-first,0
1.8,"24,000",10,1.3,900,20,50,30,132,1,I/O heavy,318,Hybrid,70
1.8,"33,000",50,1.7,"1,100",130,90,90,134,5,Mixed,449,Non-renewable,70
1.7,"31,000",100,1.1,"2,800",180,60,10,163,1,Mixed,91,Hybrid,40
1.4,"29,000",0,1.2,"1,900",20,110,30,147,2,I/O heavy,69,Renewable-first,40
1.2,"39,000",70,1.8,800,30,130,90,49,1,Compute-heavy,70,Renewable-first,70
1.8,"31,000",20,1.4,"2,700",30,100,30,179,3,I/O heavy,367,Non-renewable,20
1.5,"15,000",70,1.7,"2,000",190,110,50,73,2,I/O heavy,218,Renewable-first,0
1.8,"21,000",20,1.8,"2,900",40,50,60,67,5,Compute-heavy,431,Non-renewable,50
1.8,"35,000",0,1.3,"1,900",170,100,40,118,0,I/O heavy,313,Non-renewable,20
1.7,"22,000",30,1.5,"1,700",110,50,90,41,3,Compute-heavy,139,Renewable-first,80
1.4,"23,000",20,1.7,"1,700",160,80,80,198,4,Mixed,354,Hybrid,20
1.4,"42,000",70,1.2,600,130,50,100,148,5,I/O heavy,298,Hybrid,50
1.7,"33,000",0,1.4,"2,900",140,90,20,100,1,Compute-heavy,268,Non-renewable,70
1.4,"19,000",80,1.1,"2,000",130,90,0,34,4,Mixed,206,Hybrid,10
1.3,"11,000",100,1.5,"1,000",80,150,40,83,4,Compute-heavy,177,Non-renewable,60
1.5,"41,000",80,1.0,"1,300",200,60,40,150,1,I/O heavy,94,Hybrid,40
1.8,"41,000",50,1.4,"2,700",160,120,0,35,4,Compute-heavy,113,Non-renewable,80
1.6,"11,000",40,1.7,"1,700",80,80,30,163,2,I/O heavy,265,Non-renewable,40
1.5,"26,000",100,1.7,900,150,60,10,69,0,Mixed,452,Non-renewable,40
1.3,"16,000",40,1.6,900,140,80,90,67,0,I/O heavy,190,Hybrid,30
1.6,"12,000",50,1.1,"2,100",150,90,100,41,1,I/O heavy,492,Non-renewable,40
1.8,"22,000",60,1.4,"2,300",130,60,20,86,3,Mixed,305,Non-renewable,80
1.3,"32,000",70,1.6,"2,600",80,90,80,36,4,Compute-heavy,218,Hybrid,10
1.5,"22,000",20,1.1,"2,200",30,50,30,176,3,I/O heavy,186,Renewable-first,80
1.7,"35,000",90,1.1,"2,600",170,100,20,115,2,I/O heavy,112,Non-renewable,50
1.6,"21,000",0,1.0,"1,900",190,110,80,106,4,Mixed,407,Non-renewable,80
1.6,"27,000",40,1.3,900,20,60,80,125,5,I/O heavy,444,Renewable-first,20
1.6,"15,000",100,1.7,"2,000",20,100,40,65,0,Compute-heavy,71,Non-renewable,50
1.4,"19,000",0,1.4,500,160,100,80,173,3,I/O heavy,214,Non-renewable,70
1.4,"34,000",10,1.7,700,110,100,10,117,4,I/O heavy,487,Renewable-first,20
1.7,"35,000",70,1.1,"2,100",140,140,40,95,0,Compute-heavy,302,Hybrid,40
1.7,"10,000",20,1.0,"2,700",40,140,0,125,1,Mixed,362,Hybrid,10
1.7,"16,000",100,1.6,"1,500",60,140,20,54,2,Compute-heavy,130,Renewable-first,80
1.7,"27,000",90,1.4,"1,100",180,70,0,80,1,Mixed,129,Non-renewable,60
1.5,"43,000",30,1.4,"2,100",90,130,70,39,2,Mixed,72,Hybrid,70
1.5,"44,000",100,1.4,"1,200",30,60,0,88,4,Mixed,275,Renewable-first,50
1.7,"40,000",50,1.3,"2,700",80,100,70,183,0,Mixed,374,Hybrid,80
1.6,"39,000",70,1.7,"2,300",130,120,100,20,2,I/O heavy,212,Non-renewable,60
1.6,"7,000",0,1.4,600,70,90,50,153,2,Compute-heavy,293,Hybrid,20
1.7,"46,000",10,1.8,"2,900",30,120,50,80,4,I/O heavy,461,Hybrid,40
1.7,"32,000",100,1.7,"2,700",80,70,30,180,5,I/O heavy,333,Renewable-first,80
1.4,"19,000",50,1.6,"2,600",70,100,80,53,2,Compute-heavy,281,Hybrid,20
1.4,"17,000",70,1.5,"2,500",20,140,40,186,3,I/O heavy,169,Renewable-first,50
1.3,"23,000",70,1.7,900,180,120,10,113,3,I/O heavy,111,Non-renewable,10
1.5,"44,000",20,1.7,"2,300",70,130,60,73,0,Mixed,449,Hybrid,40
1.2,"22,000",30,1.1,"2,500",50,110,100,81,4,Mixed,390,Renewable-first,0
1.5,"35,000",90,1.3,"1,800",110,100,0,109,1,Compute-heavy,154,Hybrid,80
1.5,"41,000",30,1.6,"1,200",200,110,70,43,4,Compute-heavy,241,Non-renewable,50
1.4,"25,000",30,1.2,"2,200",70,110,0,31,1,Compute-heavy,189,Hybrid,0
1.6,"43,000",10,1.5,700,30,70,50,37,1,Mixed,193,Renewable-first,30
1.2,"9,000",50,1.6,700,90,60,0,29,4,Mixed,291,Non-renewable,50
